id_corpo_prova;obra;tipo_concreto;idade_dias;resistencia_mpa;cimento_kg_m3;relacao_a_c;abatimento_mm;densidade_kg_m3;absorção_agregado_pct
CP-001;Bloco A;C35;28;36.3;395;0.5;111.0;2332.0;2.3
CP-002;Bloco A;C30;7;28.4;340;0.54;114.0;2389.0;1.85
CP-003;Bloco C;C30;56;36.1;338;0.56;106.0;2427.0;1.89
CP-004;Bloco A;C40;28;47.2;407;0.47;142.0;2345.0;1.97
CP-005;Bloco B;C25;28;27.9;316;0.61;133.0;2448.0;2.31
CP-006;Bloco B;C40;28;41.5;398;0.43;98.0;2324.0;0.8
CP-007;Bloco C;C25;56;23.7;351;0.65;99.0;2385.0;1.18
CP-008;Bloco D;C30;28;38,7;347;0.54;116.0;2387.0;1.33
CP-009;Bloco B;C30;14;30.3;346;0.54;125.0;2328.0;2.92
CP-010;Bloco A;C25;7;25.3;315;0.6;127.0;2413.0;1.94
CP-011;Bloco C;C30;7;31.8;340;0.58;95.0;2374.0;1.01
CP-012;Bloco A;C40;28;39.4;396;0.44;114.0;2374.0;1.96
CP-013;Bloco B;C35;28;35.6;379;0.5;123.0;2339.0;1.79
CP-014;Bloco B;C35;28;39.4;394;0.52;121.0;2372.0;1.19
CP-015;Bloco B;C35;14;36.3;363;0.49;;2359.0;1.93
CP-016;Bloco A;C25;28;28.7;325;0.6;175.0;2326.0;1.53
CP-017;Bloco B;C35;14;38.4;363;0.52;109.0;2348.0;1.4
CP-018;Bloco B;C30;28;34.7;344;0.56;118.0;2414.0;1.62
CP-019;Bloco B;C30;28;3O,4;356;0.59;83.0;2360.0;0.89
CP-020;Bloco B;C40;14;41.7;412;0.48;107.0;2378.0;1.66
CP-021;Bloco A;C30;28;28.8;361;0.58;116.0;2451.0;1.36
CP-022;Bloco C;C40;28;45.2;409;0.48;113.0;2360.0;1.92
CP-023;Bloco C;C30;28;35.5;343;0.54;101.0;2363.0;1.83
CP-024;Bloco A;C40;28;44.7;418;0.45;124.0;2363.0;1.94
CP-025;Bloco A;C25;28;27.2;302;0.62;107.0;2381.0;2.54
CP-026;Bloco C;C25;7;24.4;307;0.63;112.0;2364.0;1.99
CP-027;Bloco B ;C30;28;39.4;365;0.57;102.0;2413.0;2.1
CP-028;Bloco D;C30;28;33.6;343;0.58;104.0;2324.0;2.13
CP-029;Bloco D;C25;7;23.7;330;0.63;100.0;2347.0;2.09
CP-030;Bloco B;C35;56;44.6;378;0.56;122.0;2386.0;1.93
CP-031;Bloco D;C35;28;40.7;381;0.54;103.0;2387.0;1.75
CP-032;Bloco D;C35;14;36.6;370;0.53;1250.0;2383.0;2.13
CP-033;Bloco C;C30;28;31.5;344;0.54;132.0;2374.0;2.06
CP-034;Bloco C;C30;7;28.7;345;0.58;110.0;2345.0;0.91
CP-035;Bloco B;C35;56;41.1;381;0.5;103.0;2324.0;2.03
CP-036;Bloco C;C30;7;24.5;355;0.56;93.0;2373.0;2.39
CP-037;Bloco B;C30;56;36.6;369;0.55;118.0;2380.0;2.41
CP-038;Bloco C;C25;28;25.7;309;;146.0;2334.0;2.12
CP-039;Bloco C;C40;28;44.9;404;0.46;120.0;2385.0;2.57
CP-040;Bloco B;C25;28;29.4;345;0.62;89.0;2401.0;2.08
CP-041;Bloco D;C25;28;31.4;317;0.61;100.0;2390.0;2.33
CP-042;Bloco B;C30;56;32.3;351;0.56;108.0;2385.0;1.34
CP-043;Bloco A;C35;14;33.9;356;0.51;107.0;2293.0;1.31
CP-044;Bloco C;C25;28;23.6;327;0.61;127.0;2396.0;2.62
CP-045;Bloco C;C40;14;42.9;407;0,55;76.0;2381.0;2.12
CP-046;Bloco D;C30;28;31.8;342;0.59;131.0;2434.0;1.42
CP-047;Bloco B;C25;28;26.2;325;0.65;83.0;2325.0;2.02
CP-048;Bloco B;C30;7;32.1;351;0.59;127.0;2390.0;2.35
CP-049;Bloco A;C40;28;38.8;414;0.48;103.0;2376.0;1.48
CP-050;Bloco C;C30;14;32.7;355;0.57;142.0;2344.0;1.99
CP-051;Bloco C;C30;28;33.1;352;0.55;82.0;2316.0;0.94
CP-052;Bloco C;C25;7;31.6;318;0.64;93.0;2354.0;1.47
CP-053;Bloco D;C30;28;27.4;349;0.61;97.0;238.0;1.79
CP-054;Bloco A;C40;7;42.5;395;0.51;71.0;2391.0;1.11
CP-055;Bloco D;C25;28;28.2;320;0.59;143.0;2405.0;1.8
CP-056;Bloco B;C35;28;37.9;368;0.5;108.0;2376.0;2.31
CP-057;Bloco B;C30;56;33.5;341;0.59;85.0;2402.0;1.02
CP-058;Bloco D;C35;14;33.7;389;0.53;70.0;2387.0;1.76
CP-059;Bloco B;c30;7;29.9;340;0.58;95.0;2388.0;1.1
CP-060;Bloco A;C25;28;29.3;340;0.63;100.0;2363.0;1.83
CP-061;Bloco C;C25;28;29.3;301;0.62;103.0;2357.0;2.1
