"id_obra","tipo_obra","regiao","area_construida","custo_total","prazo_meses","resistencia_mpa","consumo_cimento","indice_falhas","satisfacao","sustentavel"
1,"Industrial","Nordeste",802.5,1608825.79,36,26.8,393.1,1,6.2,"Sim"
2,"Comercial","Nordeste",791.5,2870991.79,20,28.05,394.1,2,7.8,"Sim"
3,"Residencial","Sul",575.4,1683605.52,13,33.12,387,4,3.8,"Não"
4,"Residencial","Sudeste",1156.6,3469884.24,23,31.06,368.7,1,3.8,"Sim"
5,"Comercial","Centro-Oeste",581.5,2176258.5,28,28.29,389.4,2,6.7,"Sim"
6,"Residencial","Sudeste",606.9,1350550.93,27,32.94,329.8,4,1,"Sim"
7,"Comercial","Sul",572.7,2058458,20,35.05,422.6,1,9.7,"Não"
8,"Infraestrutura","Sudeste",1380.9,6526476.59,15,42.62,347.3,2,8.8,"Não"
9,"Residencial","Sul",1028.2,2730676.61,35,34.04,366.3,0,7.6,"Sim"
10,"Comercial","Centro-Oeste",1042.4,4354250.71,15,31.78,392.1,1,5.1,"Sim"
11,"Residencial","Centro-Oeste",219.7,656750.64,36,32.31,360,0,2.6,"Não"
12,"Industrial","Sul",728.4,1494728.53,23,25.31,338.1,1,7.9,"Não"
13,"Residencial","Sudeste",1220.5,3371513.8,32,28.02,188.4,2,6.6,"Não"
14,"Industrial","Sul",1294.7,2487752.56,12,40.64,350.2,1,7.3,"Sim"
15,"Residencial","Sudeste",206.3,670298.2,9,28.97,282.8,1,8.1,"Sim"
16,"Residencial","Centro-Oeste",102.4,292629.8,35,34.58,343.1,3,5,"Sim"
17,"Comercial","Nordeste",412.1,1507476.59,18,32,264.7,1,5.6,"Não"
18,"Residencial","Nordeste",410.6,1071592.22,12,29.35,398,1,7.7,"Sim"
19,"Residencial","Sul",1086,2963284.01,25,30.78,273.8,4,3.5,"Sim"
20,"Residencial","Sul",995.5,3323029.26,18,38.22,363.1,2,1.9,"Não"
21,"Residencial","Norte",1418.5,2937870.96,12,31.08,413.1,1,6.5,"Não"
22,"Residencial","Nordeste",912.4,2616547.6,17,35.78,320.8,0,7.2,"Sim"
23,"Residencial","Sudeste",739.7,2167636.52,18,36.26,312.1,1,3.7,"Não"
24,"Residencial","Norte",1366.1,2891234.41,24,27.06,281.9,2,9.1,"Não"
25,"Comercial","Sudeste",1098.2,4028495.51,34,31.42,335.2,1,3.3,"Não"
26,"Residencial","Sul",1075.4,2574443.52,29,35.9,351.1,2,9.4,"Não"
27,"Comercial","Sul",1193.1,3775915.47,27,28.12,332.5,2,9.2,"Sim"
28,"Residencial","Sul",781.5,2498814.55,22,26.77,346.4,4,3.9,"Sim"
29,"Residencial","Sudeste",966.4,2320294.51,16,34.88,284.9,3,8.4,"Não"
30,"Comercial","Sul",1196.7,4449992.46,36,29.23,401,2,4.5,"Não"
31,"Infraestrutura","Nordeste",225.3,840381.98,33,40.52,357.7,6,8,"Sim"
32,"Residencial","Sul",855,2100873.94,36,17.82,396.6,3,8.7,"Não"
33,"Industrial","Sul",571.3,1231143.4,36,33.34,296.8,1,2.6,"Sim"
34,"Residencial","Centro-Oeste",561.7,1313323.74,15,38.46,375.5,0,3.6,"Sim"
35,"Comercial","Sudeste",601.6,2433607.74,36,37.88,320.9,3,8.9,"Não"
36,"Comercial","Centro-Oeste",965.7,3581453,26,35.66,415,3,7.4,"Sim"
37,"Residencial","Sudeste",844.4,2786722.9,14,38.04,335.5,3,6.9,"Não"
38,"Comercial","Nordeste",492.2,1685045.41,26,28.92,262.3,2,4.7,"Sim"
39,"Industrial","Nordeste",1037.7,2300397.35,12,28.12,413.2,1,4,"Sim"
40,"Comercial","Sul",1005.6,3223320.59,13,33.71,377.7,4,3.2,"Sim"
41,"Residencial","Sudeste",1001.6,2855340.46,28,27.41,467.6,3,9.3,"Sim"
42,"Infraestrutura","Nordeste",965.7,3590238.68,12,35.43,394.5,0,5.7,"Não"
43,"Comercial","Sudeste",1239.7,4857975.19,30,27.76,322,2,8.4,"Não"
44,"Comercial","Sudeste",634.6,2271748.33,17,34.56,406.6,3,5,"Sim"
45,"Residencial","Centro-Oeste",658.4,2028004.92,13,37.7,330.8,4,8.3,"Não"
46,"Residencial","Sudeste",1085.5,2705389.75,11,28.76,358,2,4,"Não"
47,"Infraestrutura","Sudeste",1042.6,4231334.47,8,34.93,389.2,4,2.5,"Não"
48,"Residencial","Sudeste",1204.8,3575531.05,36,29.84,349.3,2,3.5,"Não"
49,"Comercial","Nordeste",846.4,2427378.61,14,28.21,257.4,2,1.9,"Não"
50,"Residencial","Sudeste",1043.6,3306541.67,18,31.11,351.1,2,7.8,"Não"
51,"Infraestrutura","Nordeste",1209.5,5653113.05,31,37.05,325.9,0,5.4,"Sim"
52,"Comercial","Norte",624.3,2460922.95,26,31,375.9,2,9.7,"Não"
53,"Infraestrutura","Sudeste",1414,6427694.53,9,37.73,355.5,5,3.6,"Sim"
54,"Infraestrutura","Sudeste",616.4,2525188.03,35,39.55,335.9,1,4.1,"Sim"
55,"Comercial","Sul",327.1,1333796.59,8,21.2,342.8,3,3,"Não"
56,"Industrial","Centro-Oeste",810.3,1527799.92,17,31.56,400.1,3,2.1,"Sim"
57,"Industrial","Norte",915.3,2376842.47,19,32.53,413.3,2,1.2,"Não"
58,"Residencial","Sudeste",631.4,1639739.89,25,29.15,358.6,3,2.7,"Sim"
59,"Infraestrutura","Nordeste",524.8,2280077.91,24,40.03,357.3,3,9.7,"Não"
60,"Residencial","Sul",635.1,1371219.52,29,38.2,293.9,2,6.2,"Sim"
61,"Residencial","Sudeste",1209,3560088.21,31,26.64,370.1,0,7.3,"Não"
62,"Infraestrutura","Sudeste",177.8,795461.56,27,31.36,341.8,2,5.6,"Não"
63,"Comercial","Centro-Oeste",180.9,671668.01,16,42.04,353,2,3.3,"Não"
64,"Comercial","Sudeste",436.8,1591657.06,36,37.05,250.4,6,2.3,"Não"
65,"Residencial","Sul",1193,2925330.59,7,33.02,317.5,0,9.5,"Não"
66,"Residencial","Sudeste",1136.4,3163738.99,14,35.65,250.1,1,6.3,"Sim"
67,"Comercial","Centro-Oeste",580.4,2067773.52,7,34.57,235.6,0,4.8,"Sim"
68,"Comercial","Norte",864.8,2965778.4,36,32.18,345.7,2,5.1,"Sim"
69,"Comercial","Nordeste",1049.5,2891862.09,31,27.48,276.8,1,6,"Sim"
70,"Industrial","Centro-Oeste",1005.2,2041322.66,16,33.92,252.9,3,6.6,"Não"
71,"Infraestrutura","Sul",1020.2,4841954.99,27,30.26,359.9,4,7,"Sim"
72,"Residencial","Nordeste",913.2,2645262.59,20,31.89,276.3,2,5.1,"Não"
73,"Industrial","Norte",954.5,2053004.9,18,36.52,437.6,1,6.7,"Sim"
74,"Infraestrutura","Nordeste",389.1,1525179.71,14,40.52,297.1,4,1.6,"Não"
75,"Residencial","Sul",1526.7,4526758.73,35,27.58,290.6,3,7.6,"Não"
76,"Comercial","Sudeste",790.9,3255726.83,13,33.99,325.9,3,9.2,"Não"
77,"Industrial","Sul",1007.5,2194941.49,16,34.31,251.4,2,6.3,"Não"
78,"Comercial","Sudeste",414.4,1142558.65,21,27.51,359.2,3,9.2,"Não"
79,"Residencial","Sudeste",733.1,1811810.87,8,29.12,310.4,4,5.6,"Sim"
80,"Infraestrutura","Sudeste",1092,4895754.59,32,26.17,275.2,4,5.6,"Não"
81,"Residencial","Sul",896.9,2102482.28,25,29.14,285.3,2,3.5,"Não"
82,"Infraestrutura","Centro-Oeste",933.8,3402857.24,8,29.89,283.9,0,9.5,"Sim"
83,"Industrial","Sudeste",432,1054289.36,7,29.64,328.8,1,1.3,"Não"
84,"Infraestrutura","Nordeste",1007.5,3834528.95,6,28.57,310.2,2,8.4,"Não"
85,"Residencial","Norte",686.4,1799350.07,19,34.52,340.4,1,3.5,"Sim"
86,"Infraestrutura","Sul",318.6,1195564.24,32,26.72,355.1,3,2.4,"Não"
87,"Comercial","Sul",1049.2,3370571.59,22,24.46,400.7,0,7.3,"Sim"
88,"Infraestrutura","Sudeste",855,3075854.36,17,31.99,356.5,5,8.2,"Não"
89,"Residencial","Sudeste",615.2,1635562.66,32,36.83,385.6,0,7.7,"Sim"
90,"Residencial","Nordeste",938.1,2379015.77,32,24.63,332.8,0,2.2,"Não"
91,"Infraestrutura","Norte",255.2,1238921.88,21,40.21,420.8,0,6.5,"Sim"
92,"Industrial","Sul",1515.2,2789077.39,15,31.72,314.4,1,4.3,"Não"
93,"Industrial","Sudeste",94.5,211363.07,23,35.44,327.8,0,2.9,"Não"
94,"Residencial","Sudeste",954.7,2284256.49,10,31.07,332.6,4,7.2,"Não"
95,"Residencial","Sudeste",777.2,2054755.85,8,25.15,289.4,5,8.9,"Sim"
96,"Residencial","Sul",472.2,1431766.94,34,32.87,317.8,4,9.2,"Não"
97,"Industrial","Sudeste",955.7,2041185.62,6,31.36,402.8,1,9.5,"Sim"
98,"Residencial","Sul",719.8,1659077.26,24,22.94,276.8,1,3,"Sim"
99,"Industrial","Nordeste",1338.1,2712055.06,14,38.55,410,4,3.3,"Não"
100,"Residencial","Sudeste",497,1375482.68,6,35.5,346.2,0,6.3,"Sim"
101,"Residencial","Sudeste",1277.8,4261778.14,24,32.16,336.2,3,9.3,"Não"
102,"Industrial","Nordeste",1026.9,2408146.48,29,42.56,417.2,1,9,"Não"
103,"Comercial","Sul",511.9,1766455.06,14,27.02,270.7,1,7.3,"Não"
104,"Residencial","Sudeste",789.1,2621651.5,27,23.35,322.2,5,5.6,"Não"
105,"Residencial","Nordeste",559,1681273.06,31,30.77,400,2,1.2,"Não"
106,"Residencial","Sudeste",209.7,666927.53,26,33.84,367.5,0,1.3,"Sim"
107,"Industrial","Sudeste",1460.9,3701521.55,10,32.05,379.8,2,5.9,"Sim"
108,"Comercial","Nordeste",1352.1,5114679.1,34,29.57,369.5,2,8.4,"Sim"
109,"Residencial","Nordeste",894.9,2177964.09,22,27.72,337.9,3,1.6,"Não"
110,"Comercial","Sul",395.4,1387840.72,30,24.66,338,3,7.6,"Não"
111,"Comercial","Norte",1014.2,4064651.34,24,31.07,363.3,1,5.4,"Sim"
112,"Infraestrutura","Nordeste",534,1966908.03,7,39.48,318.3,2,8.4,"Não"
113,"Residencial","Sudeste",1041.1,2474336.66,26,32.02,341.4,1,3.7,"Sim"
114,"Residencial","Sul",1127.7,3284007.36,12,35.85,336.1,2,5.3,"Não"
115,"Residencial","Sudeste",910.6,2602889.75,31,34.17,248.6,2,2.8,"Não"
116,"Residencial","Sudeste",827.8,2117207.56,34,38.45,318.1,5,9,"Sim"
117,"Comercial","Nordeste",1194.4,4346094.74,21,28.51,308,2,8.7,"Não"
118,"Residencial","Sudeste",1192.7,3793565.35,34,24.15,353.2,2,6.1,"Não"
119,"Residencial","Norte",984.9,2795918.1,36,31.07,277.2,4,6.1,"Sim"
120,"Industrial","Nordeste",810.1,1656193.33,12,34.53,354.3,3,5.7,"Sim"
121,"Comercial","Sudeste",1149.9,4188814.68,31,25.1,261.8,4,1.1,"Sim"
122,"Residencial","Sudeste",914.2,2557462.81,33,34.04,284.9,1,5.2,"Não"
123,"Comercial","Sul",1313.4,4785245.73,28,35.72,393.8,1,4,"Sim"
124,"Industrial","Nordeste",439.7,968893.86,15,39.97,382.1,3,9.9,"Sim"
125,"Comercial","Sudeste",822.9,3078718.83,34,36.01,351.4,2,7.4,"Sim"
126,"Residencial","Sudeste",1202.5,3703771.67,17,35.08,302.9,2,8.2,"Sim"
127,"Residencial","Nordeste",629,1629151.29,25,38.68,432.8,5,7.1,"Não"
128,"Comercial","Nordeste",297.9,971375.61,13,32.1,286.5,3,1.1,"Sim"
129,"Residencial","Nordeste",1031.1,3234939.69,13,32.67,344.7,3,4.4,"Não"
130,"Comercial","Sul",659.2,2580341.1,15,34.7,420.7,2,3.9,"Não"
131,"Residencial","Sul",693.4,1974772.77,19,28.52,294.5,1,7.8,"Sim"
132,"Comercial","Nordeste",1096,3789195.7,28,30.42,410.6,7,8,"Sim"
133,"Residencial","Sul",1526.7,4411566.91,18,40.23,318.2,3,8.7,"Não"
134,"Residencial","Sudeste",864.3,2098728.5,19,28.12,341.9,5,3.4,"Não"
135,"Infraestrutura","Centro-Oeste",1153.1,4957288.91,20,29.18,366.7,1,5.4,"Não"
