"faltas";"nota_media";"turno";"escolaridade_mae";"acesso_internet"
11;10;"Vespertino";"Médio";"Sim"
8;8,3;"Matutino";"Fundamental";"Sim"
9;9,2;"Vespertino";"Fundamental";"Sim"
7;5,8;"Matutino";"Médio";"Sim"
7;8,6;"Vespertino";"Fundamental";"Não"
16;5,3;"Vespertino";"Médio";"Sim"
12;7,8;"Matutino";"Fundamental";"Sim"
7;6,7;"Vespertino";"Fundamental";"Não"
8;5,5;"Matutino";"Médio";"Sim"
7;7,3;"Noturno";"Médio";"Sim"
7;8,2;"Vespertino";"Médio";"Não"
10;7,8;"Matutino";"Médio";"Sim"
8;4,3;"Matutino";"Médio";"Não"
8;3,3;"Noturno";"Médio";"Sim"
6;6,1;"Vespertino";"Fundamental";"Sim"
9;4,1;"Vespertino";"Médio";"Sim"
8;6,5;"Matutino";"Fundamental";"Não"
10;6,5;"Matutino";"Médio";"Sim"
11;5,5;"Matutino";"Médio";"Sim"
5;3,1;"Matutino";"Médio";"Sim"
8;5,6;"Noturno";"Médio";"Sim"
4;5,6;"Matutino";"Fundamental";"Sim"
13;3,2;"Vespertino";"Médio";"Sim"
9;7,7;"Matutino";"Fundamental";"Sim"
6;6,2;"Matutino";"Superior";"Sim"
9;6,6;"Noturno";"Fundamental";"Sim"
7;7,7;"Vespertino";"Fundamental";"Não"
9;8,8;"Matutino";"Médio";"Sim"
12;3,9;"Noturno";"Fundamental";"Não"
8;10;"Noturno";"Médio";"Sim"
5;5,2;"Vespertino";"Fundamental";"Sim"
8;6,7;"Noturno";"Fundamental";"Não"
4;7,6;"Noturno";"Fundamental";"Sim"
6;5,5;"Vespertino";"Médio";"Sim"
10;8,7;"Noturno";"Médio";"Sim"
10;5,9;"Matutino";"Fundamental";"Não"
7;6,1;"Matutino";"Médio";"Sim"
7;10;"Matutino";"Fundamental";"Sim"
5;6,6;"Vespertino";"Médio";"Sim"
8;7,4;"Matutino";"Fundamental";"Sim"
5;2,2;"Vespertino";"Médio";"Não"
5;6,8;"Matutino";"Fundamental";"Sim"
10;6,5;"Vespertino";"Fundamental";"Sim"
6;3,5;"Matutino";"Superior";"Não"
6;6;"Vespertino";"Fundamental";"Sim"
9;4,7;"Matutino";"Fundamental";"Sim"
8;4,7;"Matutino";"Médio";"Não"
7;6,4;"Vespertino";"Superior";"Sim"
6;6,7;"Matutino";"Superior";"Sim"
10;7;"Vespertino";"Médio";"Sim"
9;9,2;"Vespertino";"Fundamental";"Sim"
10;5,4;"Noturno";"Médio";"Sim"
6;6,5;"Vespertino";"Superior";"Sim"
4;7;"Matutino";"Fundamental";"Sim"
9;8,1;"Matutino";"Fundamental";"Sim"
5;4,2;"Vespertino";"Médio";"Sim"
6;6,6;"Vespertino";"Fundamental";"Não"
1;6,8;"Matutino";"Fundamental";"Sim"
14;3,9;"Matutino";"Fundamental";"Sim"
15;3,8;"Matutino";"Fundamental";"Sim"
9;9;"Noturno";"Fundamental";"Não"
7;8;"Noturno";"Fundamental";"Sim"
3;5,3;"Vespertino";"Fundamental";"Não"
8;7;"Matutino";"Médio";"Sim"
12;6,2;"Matutino";"Superior";"Não"
6;5;"Vespertino";"Médio";"Sim"
8;8,2;"Noturno";"Superior";"Sim"
6;5,2;"Matutino";"Fundamental";"Sim"
8;6,8;"Matutino";"Fundamental";"Sim"
5;7,7;"Vespertino";"Médio";"Sim"
12;8,8;"Matutino";"Fundamental";"Sim"
10;5,2;"Matutino";"Superior";"Sim"
9;9,2;"Noturno";"Fundamental";"Sim"
12;10;"Noturno";"Médio";"Sim"
16;6,7;"Vespertino";"Médio";"Sim"
7;4,8;"Matutino";"Médio";"Sim"
6;5;"Vespertino";"Superior";"Sim"
8;5,4;"Matutino";"Médio";"Não"
9;7,5;"Vespertino";"Fundamental";"Sim"
9;9,3;"Vespertino";"Médio";"Sim"
9;6,5;"Matutino";"Médio";"Não"
12;4,8;"Vespertino";"Fundamental";"Sim"
10;5,5;"Matutino";"Médio";"Sim"
7;8,8;"Vespertino";"Fundamental";"Sim"
10;3,6;"Matutino";"Fundamental";"Sim"
10;6,4;"Matutino";"Fundamental";"Não"
9;5,3;"Matutino";"Superior";"Sim"
10;8,2;"Vespertino";"Médio";"Sim"
5;7,2;"Noturno";"Fundamental";"Sim"
11;5,9;"Noturno";"Fundamental";"Sim"
7;2,9;"Matutino";"Superior";"Sim"
